id,firstname,profession,salary,country
1,Asia,firefighter,55735,Armenia
2,Clarice,firefighter,77985,Holy See (Vatican City State)
3,Cristabel,developer,72543,Bulgaria
4,Marsiella,developer,245349,Mauritius
5,Zondra,police officer,179993,Mozambique
6,Tybie,police officer,73146,India
7,Audrie,firefighter,95892,Iraq
8,Carilyn,firefighter,220420,India
9,Bee,doctor,190159,Australia
9.9,Lance,developer,180000,Pakistan
10,Selma,police officer,111343,Brazil
11,Marika,firefighter,246458,Central African Republic
12,Paulita,worker,248668,Nauru
9.9,Lance,developer,180000,Pakistan
13,Merci,doctor,90494,Slovenia
14,Leeanne,firefighter,80769,Libyan Arab Jamahiriya
15,Karl,police officer,150000,Bulgaria
16,Brynna,firefighter,236134,Pakistan
17,Hyacinthe,developer,76595,Malta
18,Paola,developer,159588,Guinea
19,Sean,developer,140808,Antigua and Barbuda
20,Meg,doctor,136814,Saint Helena
21,Megan,firefighter,55000,Russia
22,Anjum,doctor,136814,Afghanistan
23,Hyder,developer,175655,China
